引脚名,MUX0,MUX1,MUX2,MUX3,MUX4,MUX5,MUX6,MUX7,MUX8,MUX9,MUX10,MUX11,MUX12,MUX13,MUX14,MUX15,ANALOG,备注
PA0,,TMR2_CH1 TMR2_EXT,TMR5_CH1,TMR8_EXT,I2C2_SCL,,,USART2_CTS,UART4_TX,,,EMAC_MII_CRS,,,,EVENTOUT,ADC123_IN0,PA0，PA1，PC0，PC1，PC2，和PC3为ADC快速通道；其它为慢速通道。
PA1,,TMR2_CH2,TMR5_CH2,,I2C2_SDA,SPI4_MOSI I2S4_SDEXT,,USART2_RTS_DE,UART4_RX,QSPI1_IO3,,EMAC_MII_RX_CLK EMAC_RMII_REF_CLK,,,,EVENTOUT,ADC123_IN1,PA0，PA1，PC0，PC1，PC2，和PC3为ADC快速通道；其它为慢速通道。
PA2,,TMR2_CH3,TMR5_CH3,TMR9_CH1,,,,USART2_TX,,,SDIO2_CK,EMAC_MDIO,,,XMC_D4,EVENTOUT,ADC123_IN2,
PA3,,TMR2_CH4,TMR5_CH4,TMR9_CH2,,I2S2_MCK,,USART2_RX,,QSPI2_IO3,SDIO2_CMD,EMAC_MII_COL,,,XMC_D5,EVENTOUT,ADC123_IN3,
PA4,,,,,,SPI1_CS I2S1_WS,SPI3_CS I2S3_WS,USART2_CK,USART6_TX,,SDIO2_D4,SDIO2_D0,OTG2_SOF,DVP_HSYNC,XMC_D6,EVENTOUT,ADC12_IN4 DAC1_OUT,
PA5,,TMR2_CH1 TMR2_EXT,,TMR8_CH1C,,SPI1_SCK I2S1_CK,,,USART6_RX,QSPI2_IO2,SDIO2_D5,SDIO2_D1,,,XMC_D7,EVENTOUT,ADC12_IN5 DAC2_OUT,
PA6,,TMR1_BRK,TMR3_CH1,TMR8_BRK,,SPI1_MISO,I2S2_MCK,USART3_CTS,,TMR13_CH1,QSPI1_IO0,SDIO2_D2,SDIO1_CMD,DVP_PIXCLK,SDIO2_D6,EVENTOUT,ADC12_IN6,
PA7,,TMR1_CH1C,TMR3_CH2,TMR8_CH1C,,SPI1_MOSI I2S1_SDEXT,,,,TMR14_CH1,QSPI1_IO1,EMAC_MII_RX_DV EMAC_RMII_CRS_DV,XMC_SDNWE,SDIO2_D3,SDIO2_D7,EVENTOUT,ADC12_IN7,
PA8,CLKOUT1,TMR1_CH1,,,I2C3_SCL,,,USART1_CK,USART2_TX,,OTG1_SOF,,SDIO1_D1,,XMC_A4,EVENTOUT,,
PA9,,TMR1_CH2,,,I2C3_SMBA,SPI2_SCK I2S2_CK,,USART1_TX,I2C1_SCL,,OTG1_VBUS,,SDIO1_D2,DVP_D0,,EVENTOUT,,
PA10,,TMR1_CH3,,,,SPI2_MOSI I2S2_SDEXT,I2S4_MCK,USART1_RX,I2C1_SDA,,OTG1_ID,,,DVP_D1,,EVENTOUT,,
PA11,,TMR1_CH4,,,I2C2_SCL,SPI2_CS I2S2_WS,SPI4_MISO,USART1_CTS,USART6_TX,CAN1_RX,OTG1_D-,,,DVP_D2,,EVENTOUT,,
PA12,,TMR1_EXT,,,I2C2_SDA,SPI2_MISO,,USART1_RTS_DE,USART6_RX,CAN1_TX,OTG1_D+,,,DVP_D3,,EVENTOUT,,
PA13,JTMS SWDIO,IR_OUT,,,,,SPI3_MISO,,,,OTG1_OE,,,,,EVENTOUT,,
PA14,JTCK SWCLK,,,,,,SPI3_MOSI I2S3_SDEXT,,USART2_TX,,,,,,,EVENTOUT,,
PA15,JTDI,TMR2_CH1 TMR2_EXT,,,,SPI1_CS I2S1_WS,SPI3_CS I2S3_WS,USART1_TX,USART2_RX,QSPI2_IO1,QSPI1_IO2,,XMC_NE2 XMC_NCE3,,,EVENTOUT,,
PB0,,TMR1_CH2C,TMR3_CH3,TMR8_CH2C,,I2S1_MCK,USART2_RX,SPI3_MOSI I2S3_SDEXT,USART3_CK,QSPI2_IO0,QSPI1_IO0,EMAC_MII_RXD2,SDIO1_D1,,,EVENTOUT,ADC12_IN8,
PB1,,TMR1_CH3C,TMR3_CH4,TMR8_CH3C,,,SPI2_SCK I2S2_CK,,USART3_RTS_DE,QSPI1_SCK,QSPI2_SCK,EMAC_MII_RXD3,SDIO1_D2,,,EVENTOUT,ADC12_IN9,
PB2,,TMR2_CH4,TMR20_CH1,,I2C3_SMBA,,,SPI3_MOSI I2S3_SDEXT,,QSPI1_SCK,,,SDIO1_CK,,,EVENTOUT,,
PB3,JTDO SWO,TMR2_CH2,,,I2C2_SDA,SPI1_SCK I2S1_CK,SPI3_SCK I2S3_CK,USART1_RX,UART7_RX,,QSPI1_IO3,,,DVP_D4,,EVENTOUT,,
PB4,JNTRST,,TMR3_CH1,,I2C3_SDA,SPI1_MISO,SPI3_MISO,I2S3_SDEXT,UART7_TX,,,,SDIO1_D0,DVP_D5,,EVENTOUT,,
PB5,,,TMR3_CH2,,I2C1_SMBA,SPI1_MOSI I2S1_SDEXT,SPI3_MOSI I2S3_SDEXT,USART1_CK,UART5_RX,CAN2_RX,,EMAC_PPS_OUT,XMC_SDCKE1,DVP_D10,SDIO1_D3,EVENTOUT,,
PB6,,,TMR4_CH1,,I2C1_SCL,I2S1_MCK,SPI4_CS I2S4_WS,USART1_TX,UART5_TX,CAN2_TX,QSPI1_CS,,XMC_SDCS1,DVP_D5,SDIO1_D0,EVENTOUT,,
PB7,,,TMR4_CH2,TMR8_BRK,I2C1_SDA,,SPI4_SCK I2S4_CK,USART1_RX,,QSPI2_IO1,,,XMC_NADV,DVP_VSYNC,SDIO1_D0,EVENTOUT,,
PB8,,TMR2_CH1 TMR2_EXT,TMR4_CH3,TMR10_CH1,I2C1_SCL,,SPI4_MISO,,UART5_RX,CAN1_RX,QSPI2_CS,EMAC_MII_TXD3,SDIO1_D4,DVP_D6,,EVENTOUT,,
PB9,IR_OUT,TMR2_CH2,TMR4_CH4,TMR11_CH1,I2C1_SDA,SPI2_CS I2S2_WS,SPI4_MOSI I2S4_SDEXT,I2C2_SDA,UART5_TX,CAN1_TX,QSPI1_CS,,SDIO1_D5,DVP_D7,,EVENTOUT,,
PB10,,TMR2_CH3,,,I2C2_SCL,SPI2_SCK I2S2_CK,I2S3_MCK,USART3_TX,,QSPI1_CS,QSPI1_IO1,EMAC_MII_RX_ER,SDIO1_D7,,XMC_NOE,EVENTOUT,,
PB11,,TMR2_CH4,TMR5_CH4,,I2C2_SDA,,,USART3_RX,,,QSPI1_IO0,EMAC_MII_TX_EN EMAC_RMII_TX_EN,,,,EVENTOUT,,
PB12,,TMR1_BRK,TMR5_CH1,,I2C2_SMBA,SPI2_CS I2S2_WS,SPI4_CS I2S4_WS,SPI3_SCK I2S3_CK,USART3_CK,CAN2_RX,,EMAC_MII_TXD0 EMAC_RMII_TXD0,OTG2_ID,,XMC_D13,EVENTOUT,,
PB13,,TMR1_CH1C,,,I2C3_SMBA,SPI2_SCK I2S2_CK,SPI4_SCK I2S4_CK,I2C3_SCL,USART3_CTS,CAN2_TX,,EMAC_MII_TXD1 EMAC_RMII_TXD1,OTG2_VBUS,,,EVENTOUT,,
PB14,,TMR1_CH2C,,TMR8_CH2C,I2C3_SDA,SPI2_MISO,I2S2_SDEXT,USART3_RTS_DE,,TMR12_CH1,,,OTG2_D-,SDIO1_D6,XMC_D0,EVENTOUT,,
PB15,ERTC_REFIN,TMR1_CH3C,,TMR8_CH3C,I2C3_SCL,SPI2_MOSI I2S2_SDEXT,,,,TMR12_CH2,,,OTG2_D+,SDIO1_CK,,EVENTOUT,,
PC0,,,,,I2C3_SCL,,,,UART7_TX,,SDIO2_D0,,XMC_SDNWE,,,EVENTOUT,ADC123_IN10,
PC1,,,,,I2C3_SDA,SPI3_MOSI I2S3_SDEXT,,SPI2_MOSI I2S2_SDEXT,UART7_RX,,SDIO2_D1,EMAC_MDC,,,,EVENTOUT,ADC123_IN11,PA0，PA1，PC0，PC1，PC2，和PC3为ADC快速通道；其它为慢速通道。
PC2,,,TMR20_CH2,,,SPI2_MISO,I2S2_SDEXT,,UART8_TX,,SDIO2_D2,EMAC_MII_TXD2,XMC_SDCS0,,XMC_NWE,EVENTOUT,ADC123_IN12,PA0，PA1，PC0，PC1，PC2，和PC3为ADC快速通道；其它为慢速通道。
PC3,,,,,,SPI2_MOSI I2S2_SDEXT,,,UART8_RX,QSPI2_IO1,SDIO2_D3,EMAC_MII_TX_CLK,XMC_SDCKE0,,XMC_A0,EVENTOUT,ADC123_IN13,PA0，PA1，PC0，PC1，PC2，和PC3为ADC快速通道；其它为慢速通道。
PC4,,,,TMR9_CH1,,I2S1_MCK,,USART3_TX,,,QSPI1_IO2,EMAC_MII_RXD0 EMAC_RMII_RXD0,XMC_SDCS0,SDIO2_CK,XMC_NE4,EVENTOUT,ADC12_IN14,
PC5,,,,TMR9_CH2,I2C1_SMBA,,,USART3_RX,,,QSPI1_IO3,EMAC_MII_RXD1 EMAC_RMII_RXD1,XMC_SDCKE0,SDIO2_CMD,XMC_NOE,EVENTOUT,ADC12_IN15,
PC6,,,TMR3_CH1,TMR8_CH1,I2C1_SCL,I2S2_MCK,,,USART6_TX,,XMC_A0,,SDIO1_D6,DVP_D0,XMC_D1,EVENTOUT,,
PC7,,,TMR3_CH2,TMR8_CH2,I2C1_SDA,SPI2_SCK I2S2_CK,I2S3_MCK,,USART6_RX,,XMC_A1,,SDIO1_D7,DVP_D1,,EVENTOUT,,
PC8,,,TMR3_CH3,TMR8_CH3,,I2S4_MCK,TMR20_CH3,UART8_TX,USART6_CK,QSPI1_IO2,XMC_A2,,SDIO1_D0,DVP_D2,,EVENTOUT,,
PC9,CLKOUT2,,TMR3_CH4,TMR8_CH4,I2C3_SDA,,,UART8_RX,,QSPI1_IO0,XMC_A3,OTG2_OE,SDIO1_D1,DVP_D3,,EVENTOUT,,
PC10,,,TMR5_CH2,,,,SPI3_SCK I2S3_CK,USART3_TX,UART4_TX,QSPI1_IO1,,,SDIO1_D2,DVP_D8,,EVENTOUT,,
PC11,,,TMR5_CH3,,,I2S3_SDEXT,SPI3_MISO,USART3_RX,UART4_RX,QSPI1_CS,,,SDIO1_D3,DVP_D4,XMC_D2,EVENTOUT,,
